gene_id,gene_name
ENSG00000034713.8,GABARAPL2
ENSG00000034971.17,MYOC
ENSG00000035115.22,SH3YL1
ENSG00000035141.8,FAM136A
ENSG00000035403.18,VCL
ENSG00000035499.13,DEPDC1B
ENSG00000035664.11,DAPK2
ENSG00000035681.9,NSMAF
ENSG00000035687.10,ADSS2
ENSG00000035720.8,STAP1
ENSG00000035862.12,TIMP2
ENSG00000035928.16,RFC1
ENSG00000036054.13,TBC1D23
ENSG00000036257.13,CUL3
ENSG00000036448.10,MYOM2
ENSG00000036473.8,OTC
ENSG00000036530.9,CYP46A1
ENSG00000036549.13,ZZZ3
ENSG00000036565.15,SLC18A1
ENSG00000036672.16,USP2
ENSG00000036828.17,CASR
ENSG00000037042.9,TUBG2
ENSG00000037241.7,RPL26L1
ENSG00000037280.16,FLT4
ENSG00000037474.15,NSUN2
ENSG00000037637.11,FBXO42
ENSG00000037749.12,MFAP3
ENSG00000037757.14,MRI1
ENSG00000037897.17,METTL1
ENSG00000037965.6,HOXC8
ENSG00000038002.9,AGA
ENSG00000038210.14,PI4K2B
ENSG00000038219.13,BOD1L1
ENSG00000038274.17,MAT2B
ENSG00000038295.8,TLL1
ENSG00000038358.15,EDC4
ENSG00000038382.20,TRIO
ENSG00000038427.16,VCAN
ENSG00000038532.16,CLEC16A
ENSG00000038945.15,MSR1
ENSG00000039068.19,CDH1
ENSG00000039123.16,MTREX
ENSG00000039139.9,DNAH5
ENSG00000039319.17,ZFYVE16
ENSG00000039523.20,RIPOR1
ENSG00000039537.14,C6
ENSG00000039560.14,RAI14
ENSG00000039600.11,SOX30
ENSG00000039650.12,PNKP
ENSG00000039987.7,BEST2
ENSG00000040199.18,PHLPP2
ENSG00000040275.17,SPDL1
ENSG00000040341.18,STAU2
ENSG00000040487.13,SLC66A1
ENSG00000040531.16,CTNS
ENSG00000040608.14,RTN4R
ENSG00000040633.13,PHF23
ENSG00000040731.10,CDH10
ENSG00000040933.16,INPP4A
ENSG00000041353.10,RAB27B
ENSG00000041357.16,PSMA4
ENSG00000041515.16,MYO16
ENSG00000041802.11,LSG1
ENSG00000041880.14,PARP3
ENSG00000041982.16,TNC
ENSG00000041988.15,THAP3
ENSG00000042062.13,RIPOR3
ENSG00000042088.14,TDP1
ENSG00000042286.15,AIFM2
ENSG00000042304.12,C2orf83
ENSG00000042317.17,SPATA7
ENSG00000042429.12,MED17
ENSG00000042445.14,RETSAT
ENSG00000042493.16,CAPG
ENSG00000042753.12,AP2S1
ENSG00000042781.14,USH2A
ENSG00000042813.8,ZPBP
ENSG00000042832.12,TG
ENSG00000042980.13,ADAM28
ENSG00000043039.7,BARX2
ENSG00000043093.15,DCUN1D1
ENSG00000043143.20,JADE2
ENSG00000043355.12,ZIC2
ENSG00000043462.13,LCP2
ENSG00000043514.17,TRIT1
ENSG00000043591.6,ADRB1
ENSG00000044012.4,GUCA2B
ENSG00000044090.10,CUL7
ENSG00000044115.21,CTNNA1
ENSG00000044446.12,PHKA2
ENSG00000044459.15,CNTLN
ENSG00000044524.11,EPHA3
ENSG00000044574.8,HSPA5
ENSG00000046604.13,DSG2
ENSG00000046647.13,GEMIN8
ENSG00000046651.15,OFD1
ENSG00000046653.15,GPM6B
ENSG00000046774.10,MAGEC2
ENSG00000046889.19,PREX2
ENSG00000047056.16,WDR37
ENSG00000047188.16,YTHDC2
ENSG00000047230.15,CTPS2
ENSG00000047249.18,ATP6V1H
ENSG00000047315.17,POLR2B
ENSG00000047346.12,FAM214A
ENSG00000047365.12,ARAP2
ENSG00000047410.14,TPR
ENSG00000047457.14,CP
ENSG00000047578.13,KATNIP
ENSG00000047579.20,DTNBP1
ENSG00000047597.7,XK
ENSG00000047617.15,ANO2
ENSG00000047621.12,C12orf4
ENSG00000047634.15,SCML1
ENSG00000047644.19,WWC3
ENSG00000047648.23,ARHGAP6
ENSG00000047662.5,FAM184B
ENSG00000047849.21,MAP4
ENSG00000047932.14,GOPC
ENSG00000047936.11,ROS1
ENSG00000048028.11,USP28
ENSG00000048052.22,HDAC9
ENSG00000048140.18,TSPAN17
ENSG00000048162.21,NOP16
ENSG00000048342.17,CC2D2A
ENSG00000048392.12,RRM2B
ENSG00000048405.10,ZNF800
ENSG00000048462.11,TNFRSF17
ENSG00000048471.14,SNX29
ENSG00000048540.15,LMO3
ENSG00000048544.6,MRPS10
ENSG00000048545.16,GUCA1A
ENSG00000048649.13,RSF1
ENSG00000048707.15,VPS13D
ENSG00000048740.18,CELF2
ENSG00000048828.17,FAM120A
ENSG00000048991.16,R3HDM1
ENSG00000049089.15,COL9A2
ENSG00000049130.16,KITLG
ENSG00000049167.15,ERCC8
ENSG00000049192.15,ADAMTS6
ENSG00000049239.13,H6PD
ENSG00000049245.13,VAMP3
ENSG00000049246.14,PER3
ENSG00000049247.14,UTS2
ENSG00000049249.9,TNFRSF9
ENSG00000049283.18,EPN3
ENSG00000049323.16,LTBP1
ENSG00000049449.10,RCN1
ENSG00000049540.18,ELN
ENSG00000049541.11,RFC2
